icpsr,id,name,state_abbrev,cast_code
13032,MH09413032,"MURPHY, Morgan Francis",IL,1
13035,MH09413035,"RANGEL, Charles B.",NY,1
13036,MH09413036,"ROBINSON, James Kenneth",VA,1
13038,MH09413038,"RUNNELS, Harold Lowell",NM,1
13039,MH09413039,"SARBANES, Paul Spyros",MD,9
13040,MH09413040,"SEIBERLING, John Frederick",OH,1
13042,MH09413042,"SPENCE, Floyd Davidson",SC,1
13043,MH09413043,"STANTON, James Vincent",OH,1
13045,MH09413045,"THONE, Charles",NE,1
13047,MH09413047,"YOUNG, Charles William (Bill)",FL,1
11000,MH09411000,"BEVILL, Tom",AL,1
11001,MH09411001,"BIESTER, Edward George, Jr.",PA,1
13050,MH09413050,"HEINZ, Henry John, III",PA,9
11005,MH09411005,"BRINKLEY, Jack Thomas",GA,1
11006,MH09411006,"BROWN, Garry Eldridge",MI,1
11007,MH09411007,"BURKE, J. Herbert",FL,9
13056,MH09413056,"BREAUX, John Berlinger",LA,1
11013,MH09411013,"ECKHARDT, Robert Christian",TX,1
11014,MH09411014,"EILBERG, Joshua",PA,1
11015,MH09411015,"ESCH, Marvin Leonel",MI,9
11016,MH09411016,"ESHLEMAN, Edwin Duing",PA,9
11019,MH09411019,"GUDE, Gilbert",MD,1
11020,MH09411020,"HAMMERSCHMIDT, John Paul",AR,1
11021,MH09411021,"HECKLER, Margaret M.",MA,1
11023,MH09411023,"KAZEN, Abraham, Jr.",TX,1
6936,MH09406936,"NIX, Robert Nelson Cornelius, Sr.",PA,9
11034,MH09411034,"MILLER, Clarence E.",OH,1
11035,MH09411035,"MONTGOMERY, Gillespie V. (Sonny)",MS,1
11036,MH09411036,"MYERS, John Thomas",IN,1
11037,MH09411037,"NICHOLS, William Flynt",AL,1
11041,MH09411041,"RAILSBACK, Thomas Fisher",IL,1
11043,MH09411043,"RIEGLE, Donald Wayne, Jr.",MI,9
11045,MH09411045,"RUPPE, Philip Edward",MI,1
11050,MH09411050,"STEIGER, Sam",AZ,9
11051,MH09411051,"STEIGER, William Albert",WI,1
11052,MH09411052,"STUCKEY, Williamson Sylvester, Jr.",GA,1
11054,MH09411054,"WHALEN, Charles William, Jr.",OH,1
11055,MH09411055,"WIGGINS, Charles Edward",CA,1
11057,MH09411057,"WINN, Edward Lawrence, Jr. (Larry)",KS,1
11058,MH09411058,"WYLIE, Chalmers Pangburn",OH,1
11063,MH09411063,"McCLOSKEY, Paul Norton , Jr. (Pete)",CA,1
